repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,dependency,releases,size,weight-based score,Engineered Project
indy/perlin,Java,2,0,0.009569378,0.2,0,1,0,0.666666667,0,0,414,5,not-project
markmarijnissen/cordova-file-cache,JavaScript,1,0,0.142611684,2.413793103,0.551724138,0,0,0.590909091,0.5,0,5988,30,not-project
niwinz/bytehold,Python,1,0,0.105757932,0,0,1,0.18487395,1,0,0,1522,25,not-project
justinmclean/ApacheWombat,HTML,2,0,0.023857068,0,0,1,0,1,0,0,18576,5,not-project
EsotericSoftware/kryo,HTML,3,1,0.092213414,8.669230769,0,0,0,0,0,1,111990,30,not-project
mxswd/lens-inference,Haskell,2,0,0.077922078,0,0,1,0,1,0,0,284,15,not-project
mxswd/lens-inference,Haskell,2,0,0.077922078,0,0,1,0,1,0,0,284,15,not-project
IntegritySolutions/jEDIMaster1,Java,2,0,0.2945006,0,0,1,0,1,0,0,16472,15,not-project
thinknsmart/firebraker,HTML,2,0,0.026088879,0,0,1,0,1,0,0,17620,5,not-project
juju/docs,NULL,8,0,0,71.60869565,13.7826087,0,0,0,0,0,18,45,not-project
mattt/Surge,NULL,1,0,0,0,0,0,0,0,0,1,74,0,not-project
didapinchegit/rocket-console,Java,2,0,0.281925681,0,0,1,0,1,0,0,92060,15,not-project
bwmcadams/SyntaxDiagramGenerator,Scala,3,0,0.058355438,0,0,1,0,1,0,0,1420,5,not-project
abw/VX,C,1,0,0.080979284,0.105263158,0,1,0.025252525,1,0,0,1952,25,not-project
imduffy15/devcloud4,NULL,1,0,0,7.714285714,0.714285714,0,0,1,0,0,10,30,not-project
GeertjanWielenga/TiledNetBeansEditors,Java,3,0,0.057161207,0,0,1,0.041584158,1,0,0,8808,15,not-project
lispmeister/rpxp,Shell,3,0,0.060693642,0,0,1,0,1,0,0,650,5,not-project
lilaivy/about_me,JavaScript,3,0,0.043956044,0,0,1,0,1,0,0,522,5,not-project
niwinz/bytehold,Python,1,0,0.105757932,0,0,1,0.18487395,1,0,0,1522,25,not-project
hoelzro/sqlite-lua-extension,C,1,0,0.108374384,0,0,1,0,1,0,0,362,15,not-project
dotnet/corefx,NULL,3,0,0,4,10,0,0,0,0,1,14,25,not-project
izou7/izou7AndroidClient,Java,2,0,0.32501451,0,0,1,0,1,0,0,9304,15,not-project
hsalis/Ribosome-Binding-Site-Calculator-v1.0,Python,2,0,0.202948829,0.109589041,0.02739726,1,0,1,0,0,3676,20,not-project
ianthetechie/dmon,JavaScript,2,0,0.048938568,0,0,1,0,1,0,0,20250,5,not-project
flutter/flutter,Dart,46,0,0.167326329,291.6,0,1,0,0,0,0,1627912,50,not-project
flutter/flutter,Dart,46,0,0.167326329,291.6,0,1,0,0,0,0,1627912,50,not-project
AProjectAMonth/Ping-Pong,Python,2,0,0.075812274,0,0,1,0,1,0,0,512,15,not-project
merkhofer/image_2048,CSS,2,0,0.046231156,0,0,1,0,1,0,0,3796,5,not-project
keith-turner/mutslam,Java,2,0,0.02200489,0,0,1,0,1,0,0,800,5,not-project
sup/colorbreak,None,1,0,0.296296296,0,0,1,0,1,0,0,0,15,not-project
soabase/exhibitor,Java,1,1,0.279260251,10.42307692,3.038461538,1,0.148232964,0.947565543,0.5,0,55964,60,project
pmd/pmd,Java,13,1,0.13187613,78.66513761,6.220183486,1,0.204914206,0,0.363636364,0,605914,75,project
scala-ide/scala-ide,Scala,10,0,0.14011854,44.83478261,0.017391304,1,0,0.997910136,0,0,185700,60,project
spray/spray,Scala,3,1,0.144447321,39.16176471,10.08823529,1,0,0.98225602,0.5,0,145420,50,project
agoragames/leaderboard,Ruby,3,1,0.156564206,4.375,0.361111111,1,0.680114099,0.987179487,1,0,5872,60,project
msgpack/msgpack-java,Java,4,1,0.221362387,14.27272727,2.136363636,1,0.201679232,0.989010989,0,1,30588,50,project
apache/nutch,Java,10,0,0.280357644,16.97311828,2.892473118,1,0.158588457,0.983258929,0,0,153730,70,project
wsexport/tool,PHP,3,0,0.154858691,4.747572816,1.077669903,1,0.213167995,0.976415094,0.583333333,0,8732,60,project
biopython/biopython,Python,14,1,0.138368703,58.35341365,4.457831325,1,0.552664574,0,0.315789474,1,994662,75,project
boxgrinder/boxgrinder-build,Ruby,1,0,0.176303221,22.76190476,0.428571429,1,0.555316456,0.8,0,1,16212,50,project
lg/murder,Ruby,3,0,0.04300454,0.722891566,0.108433735,1,0,0.8125,0,0,23188,10,project
michaelklishin/quartz-mongodb,Java,6,1,0.086560694,6.222222222,1.092592593,1,0,0.994047619,0.8,1,12642,70,project
woorea/openstack-java-sdk,Java,5,1,0.200913493,7.206185567,0.75257732,1,0.022928457,0.935849057,0,0,29042,70,project
dormouse/Flask_Docs_ZhCn,CSS,1,0,0.20093804,2.2,0.157894737,1,0,0.96,0,0,19422,20,project
